area,week,male,female,delay(avg),young,middle,old,total,neighbor-total,result_label
A6712-05,37,0,1,1.0,0,1,0,1,2,x
A6712-05,39,0,1,1.0,0,1,0,1,4,x
A6712-01,42,0,1,3.0,0,1,0,1,1,x
A6712-01,36,1,0,6.0,0,0,1,1,2,x
A6405-A4,50,1,0,2.0,0,1,0,1,0,x
A6405-A5,46,1,0,2.0,0,1,0,1,0,x
A6728-09,37,2,0,1.5,0,2,0,2,8,x
A6728-09,38,2,2,3.5,0,4,0,4,1,x
A6728-09,39,1,0,5.0,0,1,0,1,10,x
A6728-09,40,1,1,2.5,0,2,0,2,5,x
A6728-09,42,3,2,2.4,1,3,1,5,6,x
A6728-09,44,3,6,0.7777777777777778,2,5,2,9,10,x
A6728-09,45,3,1,1.25,1,2,1,4,5,x
A6728-09,46,2,1,5.333333333333333,1,1,1,3,1,x
A6728-09,48,0,2,2.0,0,2,0,2,2,x
A6728-08,36,0,1,4.0,0,1,0,1,0,x
A6728-08,37,1,0,3.0,0,1,0,1,6,x
A6728-08,38,1,0,5.0,0,1,0,1,9,x
A6728-08,39,2,1,1.3333333333333333,1,2,0,3,8,x
A6728-08,40,1,0,0.0,0,0,1,1,4,x
A6728-08,41,0,1,6.0,0,0,1,1,3,x
A6728-08,44,2,0,2.0,0,2,0,2,3,x
A6728-08,22,1,0,6.0,0,1,0,1,0,x
A6728-07,36,0,1,1.0,0,1,0,1,2,x
A6728-07,39,2,1,3.3333333333333335,0,2,1,3,6,x
A6728-07,41,1,1,8.0,0,2,0,2,3,x
A6728-07,42,0,1,6.0,0,1,0,1,9,x
A6728-07,44,1,0,1.0,0,1,0,1,15,x
A6728-07,47,0,1,1.0,0,1,0,1,1,x
A6728-06,41,1,0,1.0,0,1,0,1,1,x
A6728-06,44,0,1,2.0,0,1,0,1,11,x
A6728-06,39,0,1,0.0,0,1,0,1,4,x
A6728-05,40,0,1,1.0,0,1,0,1,1,x
A6728-05,42,1,0,1.0,0,1,0,1,0,x
A6728-05,38,1,1,3.5,0,1,1,2,2,x
A6728-05,39,0,1,7.0,0,1,0,1,6,x
A6728-04,35,0,1,1.0,0,1,0,1,2,x
A6728-04,37,2,0,4.5,0,2,0,2,13,x
A6728-04,47,0,1,3.0,0,1,0,1,2,x
A6728-03,41,1,0,1.0,0,1,0,1,2,x
A6728-03,34,1,0,1.0,0,1,0,1,0,x
A6728-03,37,3,1,3.25,0,3,1,4,6,x
A6728-03,38,1,0,3.0,0,0,1,1,0,x
A6728-02,35,1,0,4.0,0,1,0,1,10,x
A6728-02,37,2,1,5.0,1,2,0,3,28,x
A6728-02,39,2,0,2.5,0,1,1,2,9,x
A6728-02,41,1,1,1.5,0,1,1,2,11,x
A6728-02,42,1,1,2.0,0,2,0,2,8,x
A6728-02,43,0,1,1.0,0,1,0,1,3,x
A6728-02,44,1,0,3.0,0,1,0,1,1,x
A6728-01,35,0,1,6.0,0,0,1,1,8,x
A6728-01,36,0,1,2.0,0,1,0,1,2,x
A6728-01,37,1,0,5.0,0,1,0,1,21,x
A6728-01,40,1,0,7.0,0,1,0,1,4,x
A6728-01,43,0,1,2.0,0,0,1,1,2,x
A6728-01,46,0,1,6.0,0,1,0,1,0,x
A6701-28,40,1,0,1.0,0,1,0,1,1,x
