level1,neighbors
A6731-37-008,"A6731-43-004,A6731-46-006,A6731-42-003,A6731-42-006,A6731-49-001,A6731-34-008,A6731-38-002,A6731-42-001,A6731-40-010,A6731-45-005,A6731-45-004,A6731-34-005,"
A6712-18-007,"A6712-20-004,"
A6727-13-010,"A6727-15-004,"
A6705-07-001,
A6712-18-003,"A6712-18-004,"
A6712-18-001,"A6712-13-007,A6712-13-001,"
A6731-37-001,"A6731-30-007,A6731-35-003,A6731-30-009,"
A6731-37-002,"A6731-34-002,A6731-31-009,A6731-36-001,A6731-22-010,A6731-41-008,"
A6731-37-003,"A6731-32-001,A6731-45-001,A6731-35-001,"
A6731-37-004,"A6731-47-001,A6731-35-005,A6731-36-003,"
A6731-37-005,"A6731-38-005,A6731-22-009,A6731-40-005,A6731-46-001,"
A6712-18-008,"A6712-18-006,A6712-20-002,A6712-20-004,"
A6731-37-007,"A6731-31-008,A6731-36-008,A6731-31-007,A6731-38-009,A6731-40-003,"
A6727-13-011,"A6727-14-009,"
A6733-19-011,"A6733-16-009,A6733-24-002,A6733-24-001,A6733-16-008,A6733-19-009,A6733-19-010,"
A6733-19-010,"A6733-22-008,A6733-24-002,A6733-22-005,A6733-19-008,A6733-19-009,A6733-19-011,"
A6731-23-005,"A6731-28-001,A6731-20-005,A6731-25-007,A6731-29-002,A6731-20-001,A6731-21-009,A6731-23-004,A6731-23-001,A6731-27-004,"
A6731-23-004,"A6731-21-009,A6731-23-005,A6731-21-002,A6731-23-001,"
A6718-06-009,"A6718-09-003,A6718-06-007,"
A6731-14-009,"A6731-13-006,A6731-16-004,A6731-16-002,A6731-12-005,A6731-17-002,A6731-20-007,A6731-20-002,A6731-12-006,A6731-18-004,A6731-23-001,A6731-26-001,"
A6736-01-006,"A6736-06-001,A6736-01-005,A6736-01-008,"
A6736-01-007,"A6736-01-010,A6736-01-004,A6736-01-009,A6736-03-001,"
A6731-14-001,"A6731-09-008,A6731-09-007,A6731-09-006,A6731-07-005,A6731-11-001,A6731-11-006,A6731-07-002,A6731-14-002,"
A6710-06-004,
A6731-14-003,"A6731-07-009,A6731-13-001,A6731-09-006,A6731-07-006,A6731-11-004,A6731-08-007,A6731-11-007,A6731-08-009,A6731-18-001,"
A6731-14-002,"A6731-14-001,A6731-07-005,A6731-09-006,A6731-12-003,A6731-13-001,"
A6731-14-005,"A6731-11-001,A6731-09-009,"
A6731-14-004,"A6731-11-008,A6731-15-004,A6731-09-009,A6731-15-003,"
A6731-14-007,
A6705-07-009,
A6732-56-004,"A6732-55-006,A6732-52-006,A6732-57-004,A6732-57-003,A6732-53-006,A6732-56-003,A6732-54-003,"
A6736-20-010,"A6736-20-009,A6736-20-008,A6736-20-011,"
A6736-20-011,"A6736-20-008,A6736-20-010,"
A6701-10-011,
A6731-69-004,"A6731-69-006,A6731-64-008,A6731-67-010,A6731-63-006,A6731-67-012,A6731-71-001,A6731-70-007,A6731-66-011,"
A6731-69-007,"A6734-44-002,A6731-69-006,A6731-64-008,A6734-42-007,A6734-43-008,A6731-66-010,A6734-43-003,"
A6731-69-006,"A6731-69-004,A6731-69-007,A6734-44-002,"
A6731-69-001,"A6731-64-004,A6731-61-004,A6731-71-005,A6731-72-006,A6731-72-012,A6731-68-001,A6731-50-004,A6731-56-002,A6731-64-007,A6731-63-007,A6731-63-006,A6731-66-007,A6731-60-010,"
A6731-69-003,"A6731-60-008,A6731-59-008,A6731-70-005,"
A6731-37-006,"A6731-27-003,A6718-14-010,"
A6737-03-010,"A6736-04-007,A6737-03-008,A6737-03-009,A6737-07-004,"
A6736-04-005,"A6737-05-009,A6736-04-004,A6736-04-003,"
A6731-17-008,"A6731-19-004,A6731-16-008,"
A6718-01-010,
A6731-17-002,"A6731-14-009,A6731-18-004,A6731-12-006,A6731-16-006,"
A6731-17-003,"A6731-16-005,A6731-12-008,A6731-17-004,A6731-15-004,A6731-10-006,A6731-11-007,A6731-11-008,A6731-11-009,A6731-15-003,A6731-10-008,"
A6731-17-001,"A6731-10-007,A6731-16-003,A6731-13-008,"
A6735-48-011,"A6735-56-003,A6735-56-001,A6735-48-010,A6735-51-010,A6735-48-005,A6735-51-008,"
A6735-48-010,"A6735-54-002,A6735-48-009,A6735-48-011,A6735-56-001,"
A6731-17-004,"A6731-17-003,A6731-18-001,A6731-10-008,A6731-19-006,A6731-11-007,"
A6731-17-005,"A6731-19-001,A6731-18-003,A6731-13-008,A6731-13-007,"
A6732-43-008,"A6732-48-002,A6732-50-002,A6732-41-009,A6732-47-003,"
A6735-50-002,"A6735-50-004,A6735-50-003,"
A6735-31-005,"A6735-31-006,A6735-31-009,"
A6732-43-001,"A6732-41-006,A6732-38-006,A6732-37-008,"
