level2,neighbors
A6735-51,"A6735-38,A6735-55,A6735-56,A6735-48,A6735-60,"
A6735-56,"A6735-58,A6735-48,A6735-44,A6735-51,A6735-54,A6735-55,"
A6735-57,"A6735-38,A6735-44,A6735-59,A6735-27,A6735-60,"
A6712-01,"A6707-01,A6712-05,A6712-02,A6712-03,A6707-06,A6713-12,A6713-10,A6716-04,"
A6728-09,"A6728-07,A6728-06,A6728-16,A6728-04,A6728-11,A6728-12,A6728-13,"
A6728-08,"A6727-09,A6727-05,A6728-18,A6728-05,A6728-04,A6728-10,"
A6728-07,"A6728-17,A6729-01,A6729-03,A6728-21,A6728-09,A6728-04,A6728-13,"
A6728-06,"A6728-05,A6728-04,A6728-10,A6728-11,A6728-09,"
A6728-05,"A6728-06,A6728-04,A6728-10,A6728-11,A6728-08,"
A6728-04,"A6727-05,A6727-02,A6729-01,A6728-09,A6728-08,A6728-07,A6728-06,A6728-05,A6728-03,A6728-02,A6728-01,"
A6728-03,"A6728-04,A6728-02,A6728-01,"
A6728-02,"A6727-02,A6731-41,A6731-45,A6731-57,A6731-71,A6728-04,A6728-03,A6728-01,"
A6728-01,"A6718-14,A6731-41,A6729-01,A6728-04,A6728-03,A6728-02,"
A6732-53,"A6732-52,A6732-50,A6732-57,A6732-61,A6732-54,"
A6733-44,"A6727-21,A6733-43,A6733-42,A6733-38,A6733-40,"
A6733-43,"A6727-21,A6733-39,A6733-44,A6733-42,A6733-41,A6727-18,"
A6733-42,"A6733-44,A6733-43,A6733-41,A6733-40,"
A6733-41,"A6733-40,A6733-43,A6733-42,A6733-39,"
A6726-02,"A6725-04,A6730-02,A6730-01,A6718-15,A6725-03,A6718-03,A6726-01,"
A6736-13,"A6736-09,A6736-10,A6736-18,A6736-15,A6736-07,"
A6736-12,"A6737-18,A6736-15,A6736-20,A6736-21,A6736-08,A6736-09,A6736-04,"
A6736-11,"A6736-10,A6736-16,A6736-05,A6736-14,"
A6736-10,"A6736-13,A6736-11,A6736-04,A6736-05,A6736-14,A6736-07,A6736-18,"
A6736-17,"A6736-19,A6736-18,A6736-14,"
A6736-16,"A6736-19,A6736-05,A6736-11,A6736-23,A6736-14,"
A6736-15,"A6736-13,A6736-12,A6736-22,A6736-20,A6736-09,A6736-18,"
A6736-14,"A6736-11,A6736-10,A6736-17,A6736-16,A6736-19,A6736-18,"
A6736-19,"A6736-14,A6736-18,A6736-17,A6736-16,A6736-23,"
A6736-18,"A6736-13,A6736-10,A6736-17,A6736-23,A6736-15,A6736-14,A6736-19,A6736-22,"
A6732-08,"A6732-24,A6732-23,A6732-04,A6732-17,A6732-16,A6731-72,A6732-07,A6732-11,"
A6732-59,"A6732-63,A6732-58,A6732-55,A6732-60,A6732-56,"
A6732-09,"A6732-19,A6732-18,A6732-05,A6732-06,A6732-14,A6732-11,"
A6732-58,"A6732-52,A6732-59,A6732-57,A6732-56,A6732-60,"
A6732-22,"A6732-31,A6732-20,A6732-14,A6732-29,A6732-18,"
A6732-23,"A6732-34,A6732-08,A6732-24,A6732-16,A6732-26,A6732-28,"
A6732-20,"A6732-22,A6732-13,A6732-14,A6732-31,A6732-25,"
A6732-21,"A6737-24,A6737-19,A6737-23,A6732-30,A6732-25,A6732-12,A6732-10,"
A6732-26,"A6732-23,A6732-27,A6732-32,A6732-16,A6732-28,A6732-15,"
A6732-27,"A6732-26,A6732-19,A6732-32,A6732-16,A6732-15,A6732-29,"
A6732-24,"A6732-41,A6732-23,A6732-34,A6732-08,A6732-33,A6732-17,"
A6732-25,"A6732-20,A6732-21,A6732-31,A6732-30,A6732-13,A6732-12,A6732-10,"
A6732-28,"A6732-35,A6732-34,A6732-32,A6732-26,A6732-23,"
A6732-29,"A6732-44,A6732-32,A6732-22,A6732-36,A6732-31,A6732-27,A6732-19,A6732-18,A6732-38,"
A6732-06,"A6732-02,A6732-05,A6732-07,A6732-01,A6732-11,A6732-09,"
A6732-07,"A6732-04,A6732-06,A6732-08,A6732-01,A6732-11,"
A6703-11,"A6703-05,A6703-10,A6706-07,A6706-10,A6706-09,A6706-08,"
A6703-10,"A6703-05,A6703-06,A6703-07,A6703-11,A6703-08,A6703-09,A6706-07,A6706-02,A6706-01,"
A6734-44,"A6737-13,A6734-43,A6734-40,A6732-03,"
A6734-42,"A6732-01,A6734-35,A6734-34,A6734-33,A6734-39,A6732-04,A6732-05,A6731-66,A6732-02,"
A6734-43,"A6737-09,A6737-12,A6737-13,A6734-36,A6734-44,A6734-40,A6734-41,"
A6734-40,"A6734-36,A6734-26,A6734-30,A6734-44,A6734-43,A6734-39,A6732-03,"
A6734-41,"A6737-09,A6737-08,A6737-02,A6734-37,A6734-36,A6734-32,A6734-43,A6734-38,"
A6714-08,"A6714-09,A6712-20,A6714-10,A6714-04,A6715-07,A6715-06,"
A6714-09,"A6714-08,A6714-10,A6714-04,A6714-07,"
A6719-10,"A6719-08,A6719-12,A6719-13,A6719-14,A6719-06,A6719-05,"
A6714-01,"A6712-07,A6714-02,A6714-04,A6714-05,A6714-06,A6707-16,A6712-18,"
A6714-02,"A6714-10,A6714-01,A6714-03,A6707-16,A6714-06,"
A6714-03,"A6714-02,A6714-10,A6707-16,"
A6719-14,"A6719-09,A6719-08,A6719-10,A6721-04,A6719-12,A6719-13,A6719-07,A6719-15,A6719-05,A6720-04,A6720-01,A6721-01,A6719-11,"
A6719-15,"A6719-11,A6719-14,A6720-05,A6720-02,A6720-01,A6722-01,A6722-02,"
A6714-06,"A6714-01,A6714-02,A6714-10,A6714-05,A6714-07,"
A6714-07,"A6714-09,A6714-10,A6714-04,A6714-05,A6714-06,"
A6704-09,"A6709-09,A6709-02,A6704-04,A6704-10,A6704-06,"
A6704-08,"A6704-03,A6704-05,A6704-04,A6704-07,A6709-01,"
A6731-43,"A6731-34,A6731-49,A6731-22,A6731-65,A6731-40,"
A6731-42,"A6731-35,A6731-44,A6731-32,A6731-48,A6731-55,A6731-52,A6731-51,"
A6731-45,"A6731-41,A6731-57,A6728-02,A6731-47,A6731-28,"
A6731-44,"A6731-49,A6731-40,A6731-42,A6731-55,A6731-35,"
A6731-47,"A6731-53,A6731-57,A6731-45,A6731-39,A6731-28,"
A6731-46,"A6731-48,A6731-37,A6731-38,"
A6704-01,"A6706-05,A6706-04,A6704-04,A6704-02,A6704-06,"
A6731-48,"A6731-42,A6731-32,A6731-46,A6731-54,A6731-38,A6731-51,"
A6704-03,"A6704-08,A6704-05,A6704-04,A6704-07,"
A6704-02,"A6701-26,A6706-05,A6706-04,A6708-03,A6704-01,A6708-01,A6704-04,A6704-07,"
A6704-05,"A6704-08,A6704-03,A6704-04,A6704-07,"
A6704-04,"A6704-09,A6704-08,A6709-02,A6709-01,A6704-01,A6704-03,A6704-02,A6704-05,A6704-07,A6704-06,"
A6704-07,"A6708-01,A6704-08,A6709-01,A6704-03,A6704-02,A6704-05,A6704-04,A6708-03,"
A6704-06,"A6706-07,A6704-10,A6704-09,A6706-06,A6706-05,A6704-01,A6704-04,"
A6712-11,"A6712-12,A6712-15,A6712-14,A6712-08,A6712-18,A6712-07,"
A6712-10,"A6712-06,A6712-13,A6712-04,A6715-01,A6712-09,"
A6712-13,"A6712-19,A6712-10,A6712-12,A6715-01,A6712-09,"
A6712-12,"A6712-11,A6712-13,A6712-14,A6712-08,A6712-09,A6712-19,"
A6735-49,"A6735-53,A6735-47,A6735-46,A6735-43,A6735-44,"
A6735-48,"A6735-45,A6735-38,A6735-51,A6735-56,A6735-54,"
A6712-17,"A6712-20,A6712-18,A6712-15,A6712-16,"
A6712-16,"A6712-20,A6712-19,A6712-15,A6712-14,A6712-17,"
A6735-45,"A6735-48,A6735-52,A6735-41,A6735-40,A6735-54,A6735-38,A6735-39,"
